"Autor","Titulo","Cantidad","No. Dewey","Fecha","ISBN","tema","Info de publicación","Notas"
"Robertson, A T","Comentario al Texto Griego del Nuevo Testamento","2","220.33 Rob","1999",8482673513,"referencia, griego","Editorial Clie (1999), Paperback",
"Robertson, A. T.","Épocas de  la Vida de Jesús","1","232.95 Rob",,,"Vida Pública de Jesús","Casa Bautista de Publicaciones",
"Robertson, A. T.","Épocas de la Vida de Pablo","2","257 Rob",,,"Personajes de la Biblia","Casa Bautista de Publicaciones",
"Robertson, A. T.","Estudios Sobre el Nuevo Testamento","2","225 Rob",,,"Estudio del Nuevo Testamento","Casa Bautista de Publicaciones",
"Robertson, A. T.","Una Armonia de Los Cuatro Evangelios",2,"226.1 Rob",2003,"031104302X","evangelios","Casa Bautista de Publicaciones (2003), Paperback, 259 pages",
"Robertson, Archibald Thomas","Imagenes Verbales del nuevo testamento, Vol I",1,"220.33 Rob Vol I",,,"referencia, griego","Clie",
"Robertson, Archibald Thomas","Imagenes Verbales del Nuevo Testamento, Vol III",1,"220.33 Rob Vol III",,,"referencia, griego","Clie",
"Robertson, Archibald Thomas","Images Verbales del Nuevo Testamento, Vol II",1,"220.33 Rob Vol II",,,"referencia, griego","Clie",
"Robertson, Irvine","Que Creen las Sectas?",1,"290 Rob","2000","[0311057683]","sectas,","Casa Bautista de Publicaciones (2000), Paperback, 157 pages",
"Robinson, Bonnie","Voleibol","1","796  Rob",,,"Voleibol","Editorial Diana",
"Robinson, George L.","Los Doce Profetas Menores",2,"224.9 Rob",,,"Profetas Menores","Casa Bautista de Publicaciones",
"Robinson, Haddow","Predicación Bíblica","1","251  Rob",,,"Homilética","Editorial Unilit",
"Robleto, Adolfo","501 Ilustraciones Nuevas: Ilustraciones Nuevas",1,"252.2 Rob",1980,311420621,"sermones","Colombia (1980), Paperback, 320 pages",
"Robleto, Adolfo","Ahora que Soy Miembro?","1","248.7 Rob",,,"Discipulado","Casa Bautista de Publicaciones",
"Robleto, Adolfo","El Sermón Evangelístico y el Evangellista","1","251.1 Rob",,,"Evangelista","Casa Bautista de Publicaciones","donado por Tap Y Katie Hornor, 2008"
"Robleto, Adolfo","Un Vistazo a la Doctrina Romana","2","282 Rob","1984","[031105319X]","catolicismo","Casa Bautista de Publicaciones (1984), Paperback, 128 pages",
"Rodriguez Garcia, Alfredo S.","La Muerte de Cristo","1","232.96 Rod",,,"Muerte de Cristo","Casa Bautista de Publicaciones",
"Rodriguez N., Luis","Las Leyes de México y la Iglesia Católica","1","282 Rod",,,"Catolicismo","Talleres de Tipografía Indigena",
"Rodriguez, Alfredo S.","Efijes Bautistas","1","298.2 Rod",,,"Biografía","Casa Bautista de Publicaciones",
"Rodriguez, Luis","Señor Presidente: Católicos, Libres Pensadores y Protestantes Estamos de Acuerdo","1","239 Rod",,,"Apología",,
"Rollin, Nicholas","Oxford Spanish Desk Dictionary","2","463.2 Oxf","2005","[0198610742]","dictionario, referencia","Oxford University Press, USA (2005), Edition: 3, Hardcover, 1088 pages",
"Rops, Henri Daniel","Esta es la Misa","1","282   Rop",,,"Catolicismo","Ediciones Interamericanas",
"Rosales, JosÃ© Natividad","Misión secreta en el Vaticano","1","282.72 Ros","1960","[]","catolicismo","[MÃ©xico] Libro Mex., 1960.",
"Ross, Guillermo A.","Estudios en las Sagradas Escrituras, Jeremías y Lamentaciones, Vol. V","2","221 Ros Vol. 5",,,"Estudio del Antiguo Testamento","Casa de Publicaciones "" EL Faro""",
"Ross, Guillermo A.","Estudios en las Sagradas Escrituras, Los Libros Históricos, Vol. II","1","221 Ros  Vol. 2",,,"Estudio del Antiguo Testamento","Casa de Publicaciones "" EL Faro""",
"Ross, Guillermo A.","Estudios en las Sagradas Escrituras, Los Libros Poéticos, Vol. III","2","221 Ros Vol. 3",,,"Estudio del Antiguo Testamento","Casa de Publicaciones "" EL Faro""",
"Ross, Guillermo A.","Estudios en las Sagradas Escrituras, Los Libros Proféticos y el Profeta Isaías, Vol. IV","2","221 Ros Vol. 4",,,"Estudio del Antiguo Testamento","Casa de Publicaciones "" EL Faro""",
"Rossier, H.","El Profeta Oseas","1","224.6 Ros",,,"Oseas","Editorial ""Las Buenas Nuevas""",
"Rossier, H.","El Profeta Oseas","1","224.92 Ros",,,"Jonás","Editorial ""Las Buenas Nuevas""",
"Rowley, H. H.","La Fe de Israel","1","221 Row",,,"Israel","Casa Bautista de Publicaciones",
"Rudd, A. B.","Epístolas Generales","1","227.9 Rud","2008",8476451776,"epistolas","Clie (2008), Paperback, 320 pages",
"Russell, Bertrand","Antología de Bertrand Russell","1","261  Ver",,,"Filosofía","Siglo Veintiuno Editores",
"Russell, D. S.","El Periodo Intertestamentario","2","229 Rus","1997",311036546,"periodo intertestamentario","Casa Bautista de Publicaciones (1997), Paperback, 176 pages",
"Ryle, J. C.","El Camino de la Salvación","1","234   Ryl",,,"Salvación","El Estandarte de la Verdad",
"Ryle, J. C.","Los Evangelios Explicados Lucas (Volume 3)",1,"226.4 Ryl",1990,8472283461,"evangelios,lucas","Ediciones Clie (1990), Paperback, 571 pages",
"Ryle, J. C.","Los Evangelios Explicados,  ""Juan""","1","226.5 Ryl",,,"Juan","Clie",
"Ryle, J.C.","Los Evangelios Explicados Lucas (Volume 3)","1","226.3 Ryl","1990",8472283461,"evangelios,marcos","Ediciones Clie (1990), Paperback, 571 pages","donado por Tap y Katie Hornor, 2008"
"Ryrie, Charles C.","Apocalipsis: Revelación (Comentario bíblico P)","1","200 Ryr","1980",825416256,"apocalipsis","Editorial Portavoz (1980), Paperback, 128 pages",
"Ryrie, Charles C.","Dispensacionalismo Hoy",1,"237 Ryr",1992,825416272,"dispensaciones","EDITORIAL PORTAVOZ (1992), Paperback",
"Ryrie, Charles C.","Equilibrio en la vida cristiana: Balancing the Christian Life","2","248 Ryr","1974",825416280,"vida cristiana","Editorial Portavoz (1974), Paperback, 256 pages",
"Ryrie, Charles C.","La Biblia en las Noticias de Mañana","1","236   Ryr",,,"Escatología","Ediciones las Américas",
"Ryrie, Charles C.","Sintesis de doctrina biblica: Survey of Bible Doctrine","4","230 Ryr","1995",825416361,"teologia","Editorial Portavoz (1995), Paperback, 216 pages",
"Ryrie, Charles C.","Teología Basica",2,"230 Ryr",1993,1560631945,"teologia","Editorial Unilit (1993), Hardcover",
"Ryrie, Charles C.","Teología biblica del Nuevo Testamento: Biblical Theology of the New Testament","1","230 Ryr","1979","082541637X","teologia","Editorial Portavoz (1979), Paperback, 364 pages",
"Saatmann, Luise","Dejad que los Niños Jueguen","1","268.4 Saa",,,"Pedagogía","Ediciones Paulina",
"Salazar, A. T.","Cuando los Hijos Pecan",2,"265.9 Sal",,,"Crianza de Niños","Casa Evangélica de Publicaciones",
"Salazar, A. T.","Riquezas Insuperables, Bosquejos de Sermones","1","252.1 Sal",,,"Sermones","Editorial Evangélica",
"Salazar, Ezequiel","Lo Que Dios Junto","1","306 Sal","2007",,"matrimonio","La Espada",
"Sampey, J. R.","Estudios Sobre el Antiguo Testamento: Manual Para los Estudiantes Cristianos","2","221 Sam","2003",311036279,"estudio biblico,antiguo testamento","Casa Bautista de Publicaciones (2003), Paperback, 226 pages",
"Sanchez, Jose M.","Manual Generala de la unió Bautista de Preapración","1","286 San",,,"Bautista","Casa Bautista de Publicaciones",
"Sanders, J. Oswald","Liderazgo espiritual: Ed. revisada: Spiritual Leadership",2,"291 San",1995,825416507,"lider,liderazgo","Editorial Portavoz (1995), Paperback, 192 pages",
"Sanders, J. Oswald","Pablo, El Lider",1,"257 San",1986,829707603,"lider,liderazgo","Vida Publishers (1986), Paperback, 208 pages",
"Sartre, Jean-Paul","El Muro",1,"100 Sar",2003,"[9500302659]","literatura,existencialismo,","Losada (2003), Paperback, 200 pages",
"Sauer, Erich","Triunfo del crucificado, el: Triumph of the Crucified, the","1","220 Sau","1959",825416558,"vida de Cristo","Editorial Portavoz (1959), Paperback, 288 pages",
"Schaeffer, Claude F.-A","Huyendo de la razón",1,"210 Sch",1969,,"filosofia","Barcelona : Ediciones EvangÃ©licas Europeas, 1969",
"Schaeffer, Francis","Arte y Biblia",1,"215.7 Sch",,,"Ciencia","Ediciones Evangélicas Europeas",
"Schaeffer, Francis","El Esta Presente y no Esta Callado","1","210 Sch",,,"Filosofia","Logoi",
"Schaeffer, Francis","Polucion y la Muerte del Hombre",2,"215 Sch",,,"Ciencia","Casa Bautista de Publicaciones",
"Schaeffer, Francis A.","25 Estudios Bíblicos Básicos","1","220.61 Sch",,,"Estudios Bíblicos Básicos","Ediciones Evangélicas Europeas",
"Schaeffer, Francis A.","La Verdadera Espiritualidad","1","234.81 Sch",,,"Espiritualidad","Logoi",
"Schaeffer, Francis A.","Los Caminos de la Juventud Hoy","2","265.91 Sch",,,"Jóvenes","Literatura Evangélica",
"Schoroeder, Jorge W.","Manual para las Uniones Varoniles","1","262.4 Sch",,,"Organización de Iglesia","Casa Bautista de Publicaciones",
"Schultz, Samual J.","Habla el Antiguo Testamento: Old Testament Speaks, The","2","200 Sch","1995",825416574,"antiguo testamento","Editorial Portavoz (1995), Paperback, 432 pages",
"Schultz, Samuel","Ley e Historia del Antiguo Testamento","2","221 Sch",,,"Estudio del Antiguo Testamento","Editorial Caribe",
"Scofield, C. I.","Pláticas Sencillas sobre la Doctrina en Orden al Espíritu Santo","1","231.3 Sco",,,"Espíritu Santo","Revista Homilética",
"Scofield, C. I.","Traza Bien la Palabra de Verdad",2,"220.61 Sco",,,"Estudios Bíblicos","Editorial Moody",
"Selecciones","Biblioteca de Selecciones, 1957",1,"800 Sel 1957",1957,,,,
"Selecciones","Biblioteca de Selecciones, 1958","1","800 Sel 1958","1958",,"literatura","Biblioteca de Selecciones",
"Selecciones","Biblioteca de Selecciones, 1959",1,"800 Sel 1959",1959,,,,
"Selecciones","Biblioteca de Selecciones, 1960",1,"800 Sel 1960",1960,,,,
"Selecciones","Biblioteca de Selecciones, 1962",1,"800 Sel 1962",1962,,,,
"Selecciones","Biblioteca de Selecciones, 1965 vol. 2","1","800 Sel 1965 v. 2","1965",,,,
"Selecciones","Biblioteca de Selecciones, 1965, vol. 1",1,"800 Sel 1965 v. 1",1965,,,,
"Selecciones","Biblioteca de Selecciones, 1968","1","800 Sel 1968","1968",,,,
"SeyMour, M. H.","La Luz de la Verdad sobre el Romanismo","1","282 Sey",,,"Catolicismo","Unión Misionera Evangélica",
"Shakespeare, William","Pequeños Poemas- Julio César","2","800 Sha",,,"Poesía","Colección Austral",
"Shultz, Samuel J.","Deuteronómio el Evangelio de Amor","1","222.15 Shu",,,"Deuteronomio","Publicaciones Portavoz  Evangélico",
"Sibbs, Alan M.","Exponiendo la Palabra","1","251  Sli",,,"Homilética","Editoriales Hebron",
"Simpson, A. B.","Cristo en el tabernÃ¡culo",1,"230 Sim",2005,8472287068,"teologia,tabernaculo","Editorial Clie (2005), Paperback, 96 pages",
"Simpson, A. B.","Poder de lo Alto","1","231.3 Sim",,,"Espíritu Santo","Imprenta y Editorial Alianza",
"Singh, Sadhu Sundar","Con Cristo y Sin Cristo","1","248.2 Sin",,,"Experiencias Religiosas","Editorial ""La Aurora""","donado por la IB Fund de la Fe, Oct 2008"
"Smart, Fay","La Mujer que Agrada a Dios","1","265.7 Sma",,,"Mujeres","Escuela Bíblica Emmaus",
"Smith, Carlos R.","Enseñanza Biblica sobre el Don de Lenguas","1","289 Smi",,,"Las Lenguas","Spanish Publications",
"Smith, Hoke","Efesios el Propósito Eterno de Dios","1","227.5 Smi",,,"Efesios","Casa Bautista de Publicaciones",
"Smith, Hoke","Filipenses: Gozo en Cristo","1","227.6 Smi",,,"Filipenses","Casa Bautista de Publicaciones",
"Smith, Joseph","El Libro De Mormon","1","292 Smi",,"[]","mormonismo,sectas","UNSPECIFIED VENDOR (1989), Paperback, 156 pages","donado por Tap Y Katie Hornor, 2008"
"Smith, Oswald","Pasion por las Almas (Passion for Souls)",3,"269 Smi",1957,825416728,"evangelismo","Editorial Portavoz (1957), Paperback, 208 pages",
"Smith, Oswald J.","El Hombre a Quién Dios Utiliza","1","248 Smi",,,"Vida cristiana","World Literature Crusade",
"Smith, Ralph L.","El Libro de Job","1","223.1 Smi",,,"Job","Casa Bautista de Publicaciones",
"Smith, Wibur M.","Árabes vs. Israelíes","1","220.15 Smi",,,"Profecia","Editorial Caribe",
"Society, Watchtower Bible and Tract","Traduccion Del Nuevo Mundo De Las Santas Escrituras",2,"220.4 Tra",1987,,"sectas,Testigos de Jehova,religiones falsas","Watchtower Bible and Tract Society (1987), Hardcover",
"Spackman, Carl K.","Transmitiendo la fe a nuestros hijos","1","649.1 Spa","1989","[0896937534]","padres,ninos,hijos,familia,","Scripture Press Publishers (1989), Paperback, 192 pages",
"Spieler, Joseph","Los Niños que Mojan la Cama","1","268.4 Spi",,,"Pedagogía","Ediciones Paulina",
"Spieler, Joseph","Para que el niño Aprenda a  Ahorrar","1","268.4 Spi",,,"Pedagogía","Ediciones Paulina",
"Spilman, B. W.","El Nuevo Manual Normal para los Obreros de la Escuela Dominical","1","268.43 Spi",,,"Escuela Dominical","Casa Bautista de Publicaciones",
"Spitzer, Walter O.","El Control de la Natalidad","1","261.9 Spi",,,"Ética","Logoi",
"Spurgeon, C. H.","Libro de Cheques del Banco de la la Fe","1","242.1 Spu",,,"Devocionales","Clie",
"Spurgeon, Charles H.","Discursos A Mis Estudiantes","1","253 Spu","2003",,"officio pastoral","Casa Bautista de Publicaciones (2003), Paperback",
"Spurgeon, Charles H.","Ganadores de Hombres",3,"248 Spu",1999,8472288943,"evangelismo","Editorial Clie (1999), Paperback",
"Spurgeon, Charles H.","Solamente por gracia","1","248 Spu","1982",825416787,"salvacion,gracia","Editorial Portavoz (1982), Paperback, 128 pages",
"Spurgeon, Charles H.","Un Ministerio Ideal, 1","1","253 Spu Vol I","1993",851514103,"officio pastoral","Banner of Truth (1993), Edition: Revisada, Paperback, 365 pages",
"Spurgeon, Charles H.","Un Ministerio Ideal, 2","1","253 Spu Vol II","1993",851514111,"officio pastoral","Banner of Truth (1993), Hardcover, 234 pages",
"Srjona, Sara","Tere y Rodrigo","1","298.8 Arj",,,"Biografía","Ediciones las Américas",
"Staff, Argos Vergara","Diccionario Enciclopedico Argos Vergara Vol. 5","1","403 Ver Vol V","1984","[0785961860]","referencia","French & European Pubns (1984), Paperback, 444 pages",
"Staff, Argos Vergara","Diccionario Enciclopedico Argos Vergara Vol. 6",1,"403 Ver Vol VI",1984,"[0785961879]","referencia","French & European Pubns (1984), Paperback, 444 pages",
"Staff, Argos Vergara","Diccionario Enciclopedico Illustrado Vol. 2 BayacetoÂ­Co","1","407 Ver Vol II","1987","[078596276X]","referencia","French & European Pubns (1987), Paperback",
"Staff, Argos Vergara","Diccionario Enciclopedico Illustrado Vol. 3 Comicios Es",1,"405 Ver Vol III",1987,"[0785962778]","referencia","French & European Pubns (1987), Paperback, 384 pages",
"Staff, Argos Vergara","Diccionario Enciclopedico Ilustrado Argos Vergara / Vol. 1 Avellaneda","1","406 Ver Vol I","1990","[0785962921]","referencia","French & European Pubns (1990), Paperback, 296 pages",
"Staff, Argos Vergara","Diccionario Enciclopedico Ilustrado Argos Vergara Vol. 4 Desierto Faceta","1","404 Ver Vol IV","1990","[0785962875]","referencia","French & European Pubns (1990), Paperback, 324 pages",
"Staff, B&H Espanol Editorial","Atlas Biblico Conciso De Holman",1,"200 Hol",2000,"[0805494197]","Geografia","B&H Espanol (2000), Paperback, 48 pages",
"Staff, Grijalbo","Diccionario Enciclopedico Grijalbo 6 vols.","6","403 Gri","1991","[0785958061]","referencia","French & European Pubns (1991), Paperback, 2368 pages",
"Stalker, James","Vida De Jesucristo","2","232.6 Sta","1991","089922024X","vida de Cristo","Grupo Nelson (1991), Paperback, 176 pages",
"Stamateas, Bernardo","Tecnicas De Aconsejamiento Pastoral","1","253.3 Sta","1997",8476459718,"officio pastoral,consejeria,","Editorial Clie (1997), Hardcover",
"Stegenga, J","Concordancia Analítica Greco-Española del Nuevo Testamento","1","220.33 Ste",,,"referencia, griego","Clie",
"Stibbs, Alan M.","Escudriñar las Escrituras, Tomo 3","1","220.61 Sti  Vol. 3",,,"Estudios Bíblicos","Editorial Caribe",
"Stiles, Jose","La Tarea de un Pastor","2","253  Sti",,,"Officio Pastoral","Casa Bautista de Publicaciones",
"Stoner, Peter W.","La Ciencia Habla",1,"215 Sto",,,"Ciencia","Editorial Moody",
"Stormer, Por Joh","Creciendo en el Camino de Dios","1","649 Sto","2002","[0914053167]","familia,padres,ninos,hijos",,
"Stormer, Por Joh","Creciendo en el Camino de Dios",1,"649 Sto",2002,"[0914053167]","Vida Cristiana",,
"Stott, John R. W.","Hombres Nuevos Un Estudio de Romanos 5-8","1","227.1 Sto",,,"Romanos","Ediciones Certeza",
"Stott, John R. W.","Los Problemas del Liderazgo Cristiano","1","257  Sto",,,"Liderazgo Cristiano","Ediciones Pumas",
"Stott, John R. W.","Segunda Epístola a Timoteo","1","227.84 Sto",,,"2 Timoteo","Desarrollo Cristiano Internacional",
"Strachan, Kenneth","El Llamado Ineludible","1","248.5 Str",,,"Evangelismo","Editorial Caribe",
"Strauss, R.","Gane La Batalla de Su Mente!","1","248 Str","1982",829712623,"la mente,integridad,pureza,","Vida Publishers (1982), Mass Market Paperback, 176 pages",
"Streett, R. Alan","La Invitacion Eficaz","1","254 Str","1991",311138519,"officio pastoral","Casa Bautista de Publicaciones (1991), Paperback, 192 pages",
"Strong, James","Nueva Concordancia Strong Exhaustiva / the New Strong's Exhaustive Concordance",1,"220.33 Str",1980,,"referencia,concordancia biblica","Caribe/Betania Editores (1980), Hardcover",
"Strong, Josias","La Juventud y los Tiempos Modernos","1","265.91 Str",,,"Jóvenes","American Tract Society",
"Sweeting, George","Cómo iniciar la vida cristiana: How to Begin the Christian Life",2,"253 Swe",1977,825416973,"vida cristiana","Editorial Portavoz (1977), Paperback, 160 pages",
"Swenson, Garcia M.","Cómo Alcanzar a Más Jóvenes para Cristo","1","248.5 Swe",,,"Evangelismo de Jóvenes","Casa Bautista de Publicaciones",
"Swindoll, Charles R.","Pásame Otro Ladrillo",2,"248 Swi",1992,881133159,"lider,liderazgo","Grupo Nelson (1992), Paperback, 206 pages",
"Tada, Joni Eareckson","Joni (Spanish edition)","5","298.73 Ear","1977","[0829707743]","biografia","Vida (1977), Edition: Spanish, Paperback, 223 pages",
"Tada, Joni Eareckson","Un Paso Más: Cómo acercarse a Dios a través del dolor y las dificultades",1,"616.83 Ear",1979,"[0829706631]","biografia","Vida (1979), Paperback, 217 pages",
"Talbot, Luis T.","Objetos para la Enseñanza","1","268.6 Tal",,,"Objetos para Enseñar","Publicaciones de la Fuente",
"Tam, Stanley","Dios es el Dueño de Mi Negocio","1","298.73 Tam",,,"Biografía","Editorial Vida",
"Tatford, Frederick A.","Hageo/Haggai: El Profeta De LA Restauracion/Prophet of the Restoration","1","200 Tat","1992",825417007,"hageo","Portavoz (1992), Paperback, 80 pages",
"Taylor, Guillermo D.","Secretos para la familia","1","243 Tay",,,"Devocional","Expolit",
"Taylor, H. Boyce","Porqué se debe ser Bautista?","1","286 Tay",,,"Bautista","The Challenge Press",
"Taylor, J. Hudson","Unión y Comunión (Cantares)",2,"223.9   Tay",,,"Cantares","Editorial Betania",
"Taylor, Jorge","Para Ti Joven","3","265.91 Tay",,,"Jóvenes","Publicaciones Juventud",
"Taylor, Richard Shelley","La Vida Disciplinada","2","306 Tay","1992",881133418,"vida cristiana","Grupo Nelson (1992), Paperback, 132 pages",
"Taylor, Willard H.","Así Vivió Jesucristo","1","232.6  Tay",,,"Vida de Cristo","Casa Nazarena de Publicaciones",
"Ten Boom, Corrie","Misión Ineludible","1","298.43 Ten",,,"Biografía","Editorial Vida",
"Tenney, Merrill C.","Gálatas: La Carta de la Libertad en Cristo","2","227.4 Ten",,,"Gálatas","Tell",
"Tenney, Merrill C.","Nuestro Nuevo Testamento: New Testament Survey","1","225 Ten","1973",825417163,"comentario biblico,nuevo testamento","Editorial Portavoz (1973), Paperback, 512 pages",
"Terry, M. S.","Hermenéutica","1","220.6 Ter",,,"Hermenéutica","Clie",
"Terry, Maria","El Pescador Simpático","1","248.5 Ter",,,"Evangelismo","Editorial Moody",
"Thoburn, Tina","matemáticas","1","511   Tho",,,"Matemáticas","Macmillan Publishing Company","donado por Tap Y Katie Hornor, 2008"
"Thoene, Bodie","Las Puertas De Sion/Gates of Zion","2","813.54 Tho","1986","[1560633719]","ficcion","Spanish House Inc. (1986), Paperback",
"Thomas, I. D.","Astrología: Que Dice LA Biblia (Colección Doctrinas Modernas, Series No 7)",1,"293 Tho",1984,"[031105031X]","astrología, sectas","Casa Bautista of Pubns (1984), Paperback",
"Thomas, W. H. Griffith","Génesis Comentario Devocional","1","222.11 Tho",,,"Génesis","CLIE",
"Thomas, W.H. Griffith","Cómo Estudiar La Biblia : Que es y Que Ensena","2","220.61 Tho","1993",,"estudio bíblico","Editorial Portavoz (1993), Paperback",
"Thompson, Alfred","Panorama de La Biblia: Curso de Estudios",2,"237 Tho",1972,311036570,,"Colombia (1972), Paperback, 32 pages",
"Thompson, C.","El Psicoanálisis","1","258 Tho",,,"Psicoanálisis","Fondo de Cultura Económica",
"Thomson, Henry C.","La Vida de Jesucristo","3","232.6 Tho",,,"Vida de Cristo","Editorial Moody",
"Tidwell, Josiah Blake","Geografia Biblica",1,"220.9 Tid",1988,311150314,"geografia","Casa Bautista de Publicaciones (1988), Paperback, 160 pages",
"Todd, Juan Gordon","Introducción a los Métodos Parlamentarios","1","347.72  Tod",,,"Leyes de la República del Salvador","T. G. Ariel",
"Torres, Bricio","Conocer para Dialogar","1","282 Tor",,,"Catolicismo","Obra Nacional dela Buena Prensa",
"Torrey, R. A.","Cómo Estudiar la Biblia","4","220.61 Tor",,,"Método de Estudio Bíblico","Clie",
"Torrey, R. A.","Cómo Orar","2","264.1 Tor","1987",311400019,"oración","Casa Bautista de Publicaciones (1987), Hardcover, 96 pages",
"Torrey, R. A.","Manual del Obrero Cristiano","1","268.3 Tor",,,"Obrero Cristiano","Clie",
"Torrey, R. A.","Porqué Dios usó a D. L. Moody","1","298.1 Tor",,,"Biografía","Ediciones Sa-ber",
"Torrey, R. A.","Preguntas practicas y dificiles contestadas","1","220.62 Tor","1981",825417228,"biblia,preguntas,respuestas","Editorial Portavoz (1981), Edition: 13, Paperback, 128 pages",
"Tournier, Paul","Confidencias de un Médico","1","248.2 Tou",,,"Experiencias Religiosas","Casa Bautista de Publicaciones",
"Towns, Elmer L.","La Escuela Dominical Dinámica",3,"268.43 Tow",,,"Escuela Dominical","Editorial Vida",
"Tozer, A. W.","Ese Increíble Cristiano","1","248 Toz",,,"Vida Cristiana","Editorial Alianza",
"Tozer, A. W.","La Busqueda de Dios","1","248 Toz",,,"vida cristiana","WingSpread Publishers (2008), Perfect Paperback, 144 pages",
"Tract, Watchtower Bible &","El Hombre En Busca De Dios","1","291 Hom","1990","[]","testigos de Jehova,sectas","Watchtower Bible & Tract (1990), Paperback",
"Tract, Watchtower Bible &","Usted Puede Vivir Para Siempre En El Paraíso En La Tierra",4,"291 Ust",1989,"[]","testigos de Jehova, sectas","Watchtower Bible & Tract (1989), Hardcover",
"Traina, Robert A.","Métodos para el Estudio de la Biblia",2,"220.6 Tra",,,"Hermenéutica","Logoi",
"Trenchard, Ernest H.","Epistola a los Romanos","1","227.1 Tre","1969","082541735X","romanos","Editorial Portavoz (1969), Paperback, 388 pages",
"Trenchard, Ernest H.","Epistola a los Romanos","1","227.1 Tre","1969","082541735X","romanos","Editorial Portavoz (1969), Paperback, 388 pages",
"Trenchard, Ernest H.","Hechos de los apostoles, los: Acts of the Apostles","1","230 Tre","1963",825417414,"hechos","Editorial Portavoz (1963), Paperback, 688 pages",
"Trenchard, Ernesto","Consejos para Jóvenes Predicadores","1","251  Tre",,,"Homilética","Literatura Bíblica",
"Trenchard, Ernesto","Exposicion Del Evangelio Segun San Marcos","1","226.3 Tre","1971",,"evangelios,marcos","Literatura Biblica (1971), Hardcover",
"Trenchard, Ernesto","Primera Epistola a los Corintios","1","227.2 Tre",,,"1 de Corintios","Literatura Bíblica",
"Trenchard, Ernesto","Una  Exposición de la Epístola a los Gálatas","1","227.4 Tre",,,"Gálatas","Literatura Bíblica",
"Trenchard, Ernesto H.","Introduccion a los cuatro Evangelios: Introduction to the Four Gospels","1","221 Tre","1999",825417244,"evangelios","Editorial Portavoz (1999), Paperback, 448 pages",
"Trenchard, Ernesto H.","Introduccion a los libros profeticos e Isaias: Introduction to the Prophetic Books and Isaiah","1","221 Tre","1993",825417473,"isaias","Editorial Portavoz (1993), Paperback, 192 pages",
"Trenchard, Ernesto H.","Normas de interpretacion biblica: Rules of Biblical Interpretation",2,"220.6 Tre",1958,"082541749X","hermeneutica","Editorial Portavoz (1958), Paperback, 164 pages",
"Trotman, Dawson","Estudios Fundamentales de la Vida Cristiana, Vol. 1","1","248  Tro",,,"Vida Cristiana","Publicaciones La Biblia Dice",
"Trotman, Dawson E.","Nacido para multiplicarse",4,"248 Tro",1975,847443566,"vida cristiana","La Biblia Dice (1975), Unknown Binding, 61 pages",
"Trotter","Ocho Lecturas sobre las Profecía","1","236  Tro",,,"Escatología","Editorial ""Las Buenas Nuevas""",
"Truett, Jorge W.","Sermones ""Jorge Truett"", Tomo I","2","252  Tru  Vol.1",,,"Sermones","Casa Bautista de Publicaciones",
"Truett, Jorge W.","Sermones ""Jorge Truett"", Tomo II",2,"252  Tru   Vol.2",,,"Sermones","Casa Bautista de Publicaciones",
"Truman, Cliff","Efesios",1,"227.5  Tru",,,"Comentario","Clie",
"Truman, Cliff","Éxodo","1","222.12 Tru",,,"Comentario","Clie",
"Truman, Cliff","Génesis","1","222.11 Tru",,,"Comentario","Clie",
"Tuggy, Alfred E.","lexico Grieco-espanol del Nuevo Testamento",1,"220.33 Tug",,,"referencia, griego","Editorial Mundo Hispano",
"Tunner N., Donald D.","Práctica de la Pastoral, Curso B-9","1","253  Tun",,,"Práctica Pastoral","Acadamia Cristian del Aire",
"Unger, Merrill F.","Don de lenguas y el Nuevo Testamento",2,"230 Ung",1995,"[0825417767]","lenguas,","Editorial Portavoz (1995), Paperback, 176 pages",
"Unger, Merrill F.","El Misterio del Obispo Pike","1","298.56 Ung",,,"Biografía","CLIE",
"Unger, Merrill F.","Los Demonios Según la Biblia","1","293 Ung 1952","1952",,"Sectas","Ediciones de las Américas",
"Unger, Merrill F.","Los Demonios y el Mundo Moderno","1","293   Ung  1974                                ","1974",,"Sectas","Logoi",
"Unger, Merrill F.","Nuevo manual bíblico de Unger: New Unger's Bible Handbook",2,"200 Ung",1990,825417813,"comentario biblico","Editorial Portavoz (1990), Paperback, 720 pages",
"Unión Femenil Misionera de la Convención Bautista del Sur, Estados Unidos","Manual de las Sociedades Femeniles","1","266.48 Uni",,,"Misiones","Casa Bautista de Publicaciones",
"Unknown","Enciclopedia salvat Diccionario  Tomo 3","1","403 Sal Vol III","1976","[]","referencia","Salvat Editores (1976), Hardcover",
"Unknown","Enciclopedia salvat Diccionario Tomo 1","1","403 Sal Vol I","1976","[]","referencia","Salvat Editores (1976), Hardcover",
"Unknown","Enciclopedia salvat Diccionario Tomo 2","1","403 Sal Vol II","1976","[]","referencia","Salvat Editores (1976), Hardcover",
"Unknown","Enciclopedia salvat Diccionario Tomo 4","1","403 Sal Vol IV","1976","[]","referencia","Salvat Editores (1976), Hardcover",
"Unknown","Enciclopedia salvat Diccionario Tomo 5",1,"403 Sal Vol V",1976,"[]","referencia","Salvat Editores (1976), Hardcover",
"Unknown","Enciclopedia salvat Diccionario Tomo 6",1,"403 Sal Vol VI",1976,"[]","referencia","Salvat Editores (1976), Hardcover",
